SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
20MICRONS,20 Microns Limited,EQ,06-OCT-2008
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019
3BBLACKBIO,3B Blackbio Dx Limited,EQ,20-APR-2026
3IINFOLTD,3i Infotech Limited,BE,22-OCT-2021
3MINDIA,3M India Limited,EQ,13-AUG-2004
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017
63MOONS,63 moons technologies limited,EQ,20-JUN-2005
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021
AARNAV,Aarnav Fashions Limited,EQ,25-FEB-2026
AARON,Aaron Industries Limited,EQ,06-NOV-2020
AARTECH,Aartech Solonics Limited,BE,10-JUL-2023
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023
AARTISURF,Aarti Surfactants Limited,BE,14-JUL-2020
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020
AASTHA,Aastha Spintex Limited,EQ,06-JUL-2026
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018
ABAN,Aban Offshore Limited,BE,29-MAR-1995
ABANSENT,Abans Enterprises Limited,EQ,20-APR-2026
ABB,ABB India Limited,EQ,08-FEB-1995
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025
ABMINTLLTD,ABM International Limited,BE,09-SEP-2021
ABMKNO,ABM Knowledgeware Limited,EQ,20-APR-2026
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021
ACC,ACC Limited,EQ,20-NOV-1996
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999
ACCURACY,Accuracy Shipping Limited,BE,11-DEC-2020
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022
ACGL,Automobile Corporation of Goa Limited,EQ,17-AUG-2026
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022
ACL,Andhra Cements Limited,EQ,10-MAY-2023
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024
ACSTECH,ACS Technologies Limited,EQ,20-APR-2026
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009
ADDIND,Addi Industries Limited,EQ,17-AUG-2026
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010
ADL,Archidply Decor Limited,EQ,01-OCT-2020
ADOR,Ador Welding Limited,EQ,10-MAY-1995
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007
ADVAIT,Advait Energy Transitions Limited,EQ,20-JAN-2026
ADVANCE,Advance Agrolife Limited,EQ,08-OCT-2025
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007
ADVENTHTL,Advent Hotels International Limited,EQ,13-NOV-2025
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016
ADVIKCA,Advik Capital Limited,EQ,17-AUG-2026
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-JUN-2025
AEPL,Artemis Electricals and Projects Limited,EQ,12-MAR-2026
AEQUS,Aequs Limited,EQ,10-DEC-2025
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,EQ,02-APR-2026
AETHER,Aether Industries Limited,EQ,03-JUN-2022
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024
AFFLE,Affle 3i Limited,EQ,08-AUG-2019
AFFORDABLE,Affordable Robotic & Automation Limited,BE,23-OCT-2024
AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025
AGI,AGI Greenpac Limited,EQ,31-MAY-2000
AGIIL,Agi Infra Limited,EQ,15-JUL-2024
AGL,Allcargo Global Limited,EQ,03-JUL-2026
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019
AHCL,Anlon Healthcare Limited,EQ,03-SEP-2025
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009
AHLWEST,Asian Hotels (West) Limited,BE,05-AUG-2010
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024
AIRAN,Airan Limited,EQ,03-MAY-2019
AIROLAM,Airo Lam limited,EQ,13-OCT-2021
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019
AKCAPIT,AK Capital Services Limited,EQ,20-APR-2026
AKG,Akg Exim Limited,EQ,16-FEB-2021
AKI,AKI India Limited,EQ,06-APR-2023
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022
AKSHARCHEM,AksharChem India Limited,BE,28-MAR-2017
AKSHOPTFBR,Aksh Optifibre Limited,BE,18-AUG-2000
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024
ALANKIT,Alankit Limited,EQ,30-JUN-2015
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999
ALFREDHE,Alfred Herbert India Limited,EQ,17-AUG-2026
ALGOQUANT,Algoquant Fintech Limited,EQ,06-JAN-2026
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021
ALKALI,Alkali Metals Limited,BE,06-NOV-2008
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007
ALPHAGEO,Alphageo (India) Limited,BE,11-MAY-2007
ALPINETEX,Alpine Texworld Limited,EQ,21-JUL-2026
ALUFLUOR,Alufluoride Limited,EQ,17-AUG-2026
AMAGI,Amagi Media Labs Limited,EQ,21-JAN-2026
AMAL,Amal Limited,EQ,17-AUG-2026
AMANTA,Amanta Healthcare Limited,BE,09-SEP-2025
AMARJOTHI,Amarjothi Spinning Mills Limited,EQ,17-AUG-2026
AMBALALSA,Ambalal Sarabhai Enterprises Limited,EQ,20-APR-2026
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998
AMDIND,AMD Industries Limited,EQ,19-MAR-2007
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995
ANDREWYU,Andrew Yule & Company Limited,EQ,17-AUG-2026
ANGELONE,Angel One Limited,EQ,05-OCT-2020
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008
ANMOL,Anmol India Limited,EQ,04-JUN-2021
ANNAPURNA,Annapurna Swadisht Limited,EQ,12-AUG-2026
ANSALBU,Ansal Buildwell Limited,EQ,17-AUG-2026
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021
APARINDS,Apar Industries Limited,EQ,12-JUL-2004
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015
APOORVA,Apoorva Leasing Finance and Investment Company Limited,EQ,17-AUG-2026
APTECHT,Aptech Limited,BE,27-SEP-2002
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021
AQYLON,Aqylon Nexus Limited,EQ,01-APR-2024
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008
ARCHIES,Archies Limited,EQ,02-SEP-1998
ARCL,ARCL Organics Limited,EQ,17-AUG-2026
ARDEE,Ardee Industries Limited,EQ,12-AUG-2026
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995
ARFIN,Arfin India Limited,EQ,22-JUL-2025
ARIES,Aries Agro Limited,EQ,11-JAN-2008
ARIHANT,Arihant Foundations & Housing Limited,EQ,20-APR-2026
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017
ARIS,Arisinfra Solutions Limited,EQ,25-JUN-2025
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007
ARROWGREEN,Arrow Greentech Limited,BE,21-MAY-2015
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-SEP-2025
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020
ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021
ARVIND,Arvind Limited,EQ,08-FEB-1995
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015
ARYAMAN,Aryaman Financial Services Limited,EQ,17-AUG-2026
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998
ASAHISONG,Asahi Songwon Colors Limited,BE,29-AUG-2011
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011
ASHIKAG,Ashika Global Securities Limited,BE,20-APR-2026
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007
